audiofile_id,audio_filename,upload_date,e_username
1,https://archive.org/details/JHS05SideA,10/13/2016,Editor1
2,https://archive.org/details/JHS08SideA,10/13/2016,Editor1
3,https://archive.org/details/JHS10SideA,10/13/2016,Editor1
4,https://archive.org/details/JHS12SideA,10/13/2016,Editor1
5,https://archive.org/details/JHS13SideA,10/13/2016,Editor1
6,https://archive.org/details/JHS16SideA,10/13/2016,Editor1
7,https://archive.org/details/JHS17SideA,10/13/2016,Editor1
8,https://archive.org/details/JHS24SideB,10/13/2016,Editor1
9,https://archive.org/details/JHS25SideA/JHS+25-+side+A.mp3,10/15/2016,Editor1
10,https://archive.org/details/JHS28SideA,10/15/2016,Editor1